"EntryId","EntryDate","Client","ProjectCode","Consultant","TaskCode","Hours","BillRate","Amount","IsBillable","BillingStatus","Notes"
"TB-000115","2026-06-10","Fabrikam Inc","PRJ-311","M. Rivera","API Integration","4.64","119","552.16","True","Paid","Work item 6586"
"TB-000116","2026-08-06","Acme Corp","PRJ-977","A. Singh","Report Build","2.06","196","403.76","False","Paid","Work item 6029"
"TB-000117","2026-07-18","Acme Corp","PRJ-919","M. Rivera","Data Cleanup","2.72","96","261.12","False","Paid","Work item 7293"
"TB-000118","2026-08-05","Acme Corp","PRJ-508","A. Singh","Data Cleanup","2.77","208","576.16","True","Approved","Work item 6009"
"TB-000119","2026-07-01","BlueYonder Co","PRJ-598","D. Kim","API Integration","4.68","125","585","True","Draft","Work item 4128"
"TB-000120","2026-06-26","Northwind LLC","PRJ-221","M. Rivera","Report Build","4.7","188","883.6","True","Paid","Work item 7397"
"TB-000121","2026-05-19","Acme Corp","PRJ-386","A. Singh","QA Regression","3.55","132","468.6","True","Paid","Work item 6359"
"TB-000122","2026-06-06","Acme Corp","PRJ-101","S. Patel","QA Regression","2.7","171","461.7","True","Approved","Work item 2369"
"TB-000123","2026-04-28","Northwind LLC","PRJ-224","M. Rivera","UI Prototype","1.89","138","260.82","True","Draft","Work item 9913"
"TB-000124","2026-06-30","Fabrikam Inc","PRJ-234","A. Singh","UI Prototype","3.8","142","539.6","True","Approved","Work item 3364"
"TB-000125","2026-04-29","Contoso Ltd","PRJ-148","S. Patel","Data Cleanup","1.26","134","168.84","True","Submitted","Work item 2223"
"TB-000126","2026-08-11","Fabrikam Inc","PRJ-572","J. Carter","API Integration","6.72","150","1008","True","Rejected","Work item 8018"
"TB-000127","2026-05-05","Fabrikam Inc","PRJ-239","S. Patel","Data Cleanup","7.04","186","1309.44","True","Rejected","Work item 8150"
"TB-000128","2026-05-07","Northwind LLC","PRJ-145","S. Patel","UI Prototype","4.38","110","481.8","True","Submitted","Work item 2960"
"TB-000129","2026-06-08","BlueYonder Co","PRJ-244","S. Patel","API Integration","3.76","88","330.88","True","Submitted","Work item 2283"
"TB-000130","2026-06-16","Fabrikam Inc","PRJ-451","A. Singh","UI Prototype","6.83","210","1434.3","True","Submitted","Work item 2658"
"TB-000131","2026-07-02","Contoso Ltd","PRJ-655","D. Kim","UI Prototype","6.1","108","658.8","True","Approved","Work item 7337"
"TB-000132","2026-07-14","Fabrikam Inc","PRJ-410","S. Patel","Data Cleanup","4.9","195","955.5","False","Approved","Work item 2806"
"TB-000133","2026-05-30","BlueYonder Co","PRJ-954","M. Rivera","QA Regression","4.71","127","598.17","False","Rejected","Work item 7310"
"TB-000134","2026-07-24","Acme Corp","PRJ-523","A. Singh","UI Prototype","3.43","104","356.72","False","Submitted","Work item 5676"
"TB-000135","2026-07-19","Contoso Ltd","PRJ-600","J. Carter","UI Prototype","3.37","140","471.8","True","Approved","Work item 5885"
"TB-000136","2026-05-28","Acme Corp","PRJ-660","M. Rivera","UI Prototype","2.35","139","326.65","True","Approved","Work item 1248"
"TB-000137","2026-08-16","BlueYonder Co","PRJ-382","M. Rivera","UI Prototype","0.7","141","98.7","True","Draft","Work item 1783"
"TB-000138","2026-05-28","Acme Corp","PRJ-835","J. Carter","Data Cleanup","2.52","208","524.16","True","Submitted","Work item 9294"
"TB-000139","2026-05-28","Northwind LLC","PRJ-508","S. Patel","UI Prototype","0.57","178","101.46","False","Submitted","Work item 1340"
"TB-000140","2026-06-05","Northwind LLC","PRJ-542","S. Patel","API Integration","6.51","212","1380.12","True","Draft","Work item 2029"
"TB-000141","2026-05-27","Northwind LLC","PRJ-345","A. Singh","QA Regression","4.06","119","483.14","True","Submitted","Work item 5274"
"TB-000142","2026-07-09","Contoso Ltd","PRJ-116","A. Singh","QA Regression","3.66","117","428.22","True","Approved","Work item 3957"
"TB-000143","2026-05-06","Acme Corp","PRJ-357","A. Singh","API Integration","0.76","135","102.6","True","Approved","Work item 8705"
"TB-000144","2026-08-21","Acme Corp","PRJ-501","D. Kim","Report Build","6.54","160","1046.4","True","Draft","Work item 2133"
"TB-000145","2026-05-07","BlueYonder Co","PRJ-653","M. Rivera","UI Prototype","2.88","178","512.64","False","Submitted","Work item 2398"
"TB-000146","2026-08-19","BlueYonder Co","PRJ-171","J. Carter","API Integration","2.55","160","408","True","Draft","Work item 9511"
"TB-000147","2026-08-02","Contoso Ltd","PRJ-702","S. Patel","API Integration","1.13","110","124.3","True","Draft","Work item 3413"
"TB-000148","2026-05-24","Northwind LLC","PRJ-110","A. Singh","UI Prototype","3.42","123","420.66","True","Approved","Work item 7549"
"TB-000149","2026-07-27","Northwind LLC","PRJ-623","A. Singh","UI Prototype","6.28","107","671.96","False","Draft","Work item 4141"
"TB-000150","2026-07-12","Acme Corp","PRJ-138","J. Carter","UI Prototype","3.61","132","476.52","True","Submitted","Work item 7810"
"TB-000151","2026-05-04","BlueYonder Co","PRJ-788","S. Patel","QA Regression","3.07","126","386.82","True","Rejected","Work item 7624"
"TB-000152","2026-08-16","Northwind LLC","PRJ-257","S. Patel","Report Build","5.23","130","679.9","True","Rejected","Work item 4817"
"TB-000153","2026-08-02","Fabrikam Inc","PRJ-866","J. Carter","Report Build","3.08","92","283.36","True","Submitted","Work item 8963"
"TB-000154","2026-05-27","Fabrikam Inc","PRJ-446","M. Rivera","API Integration","6.78","215","1457.7","True","Paid","Work item 6339"
"TB-000155","2026-07-18","Northwind LLC","PRJ-746","J. Carter","API Integration","3.96","184","728.64","False","Rejected","Work item 2101"
"TB-000156","2026-06-05","BlueYonder Co","PRJ-470","A. Singh","Data Cleanup","1.77","178","315.06","False","Draft","Work item 7539"
"TB-000157","2026-06-20","BlueYonder Co","PRJ-907","D. Kim","UI Prototype","0.98","95","93.1","True","Rejected","Work item 7438"
"TB-000158","2026-07-31","Northwind LLC","PRJ-965","D. Kim","QA Regression","5.7","179","1020.3","True","Draft","Work item 7971"
"TB-000159","2026-05-18","Acme Corp","PRJ-743","J. Carter","API Integration","6.21","204","1266.84","True","Submitted","Work item 1864"
"TB-000160","2026-08-08","BlueYonder Co","PRJ-575","A. Singh","Data Cleanup","3.04","96","291.84","True","Approved","Work item 1506"
"TB-000161","2026-08-11","Acme Corp","PRJ-485","M. Rivera","UI Prototype","4.14","217","898.38","True","Rejected","Work item 8277"
"TB-000162","2026-08-17","Northwind LLC","PRJ-967","J. Carter","API Integration","4.64","119","552.16","True","Submitted","Work item 7768"
"TB-000163","2026-05-03","BlueYonder Co","PRJ-438","D. Kim","UI Prototype","3.24","176","570.24","True","Paid","Work item 6182"
"TB-000164","2026-07-02","Acme Corp","PRJ-360","D. Kim","QA Regression","3.54","137","484.98","True","Paid","Work item 3183"
"TB-000165","2026-08-19","Contoso Ltd","PRJ-589","J. Carter","Data Cleanup","5.46","201","1097.46","True","Rejected","Work item 4124"
"TB-000166","2026-08-13","Fabrikam Inc","PRJ-721","S. Patel","Data Cleanup","1.48","188","278.24","True","Paid","Work item 8391"
"TB-000167","2026-05-29","Northwind LLC","PRJ-462","J. Carter","Report Build","7.37","106","781.22","False","Draft","Work item 2636"
"TB-000168","2026-05-26","Acme Corp","PRJ-182","M. Rivera","QA Regression","3.61","167","602.87","True","Submitted","Work item 3624"
"TB-000169","2026-07-06","Northwind LLC","PRJ-499","D. Kim","API Integration","4.91","188","923.08","True","Submitted","Work item 5356"
"TB-000170","2026-05-15","BlueYonder Co","PRJ-394","M. Rivera","Data Cleanup","6.11","150","916.5","True","Draft","Work item 4442"
"TB-000171","2026-05-28","Fabrikam Inc","PRJ-938","M. Rivera","Data Cleanup","2.55","216","550.8","False","Approved","Work item 2688"
"TB-000172","2026-04-28","Contoso Ltd","PRJ-309","J. Carter","QA Regression","1.79","171","306.09","True","Rejected","Work item 7883"
"TB-000173","2026-05-31","Contoso Ltd","PRJ-490","S. Patel","QA Regression","7.04","90","633.6","True","Paid","Work item 6307"
"TB-000174","2026-07-26","BlueYonder Co","PRJ-115","D. Kim","Data Cleanup","3.3","203","669.9","True","Approved","Work item 9302"
"TB-000175","2026-08-02","Acme Corp","PRJ-381","J. Carter","UI Prototype","5.19","111","576.09","True","Paid","Work item 2585"
"TB-000176","2026-05-08","Northwind LLC","PRJ-558","A. Singh","API Integration","6.15","187","1150.05","False","Submitted","Work item 1071"
"TB-000177","2026-07-06","BlueYonder Co","PRJ-832","A. Singh","API Integration","6.21","101","627.21","False","Approved","Work item 6581"
"TB-000178","2026-05-03","BlueYonder Co","PRJ-225","D. Kim","Report Build","1.42","94","133.48","True","Submitted","Work item 3967"
"TB-000179","2026-07-23","Contoso Ltd","PRJ-851","D. Kim","Report Build","3.7","141","521.7","True","Submitted","Work item 8046"
"TB-000180","2026-07-10","Contoso Ltd","PRJ-244","M. Rivera","QA Regression","3.15","201","633.15","True","Submitted","Work item 1194"
"TB-000181","2026-05-14","Acme Corp","PRJ-148","D. Kim","Report Build","5.81","141","819.21","True","Submitted","Work item 8524"
"TB-000182","2026-05-08","BlueYonder Co","PRJ-622","A. Singh","Report Build","3.4","177","601.8","True","Draft","Work item 2808"
"TB-000183","2026-06-03","Fabrikam Inc","PRJ-339","A. Singh","QA Regression","2.88","156","449.28","True","Paid","Work item 6717"
"TB-000184","2026-07-26","Northwind LLC","PRJ-659","J. Carter","UI Prototype","7.17","172","1233.24","True","Approved","Work item 2369"
"TB-000185","2026-06-11","Contoso Ltd","PRJ-456","D. Kim","Report Build","6.52","218","1421.36","True","Rejected","Work item 8346"
"TB-000186","2026-08-19","Acme Corp","PRJ-733","J. Carter","QA Regression","5.39","203","1094.17","False","Paid","Work item 8171"
"TB-000187","2026-07-29","Fabrikam Inc","PRJ-951","D. Kim","UI Prototype","7.95","122","969.9","True","Submitted","Work item 6132"
"TB-000188","2026-06-30","Acme Corp","PRJ-458","A. Singh","Report Build","6.37","164","1044.68","False","Submitted","Work item 6378"
"TB-000189","2026-06-02","BlueYonder Co","PRJ-984","J. Carter","QA Regression","2.71","122","330.62","False","Approved","Work item 5003"
"TB-000190","2026-06-23","Fabrikam Inc","PRJ-242","M. Rivera","QA Regression","2.62","140","366.8","False","Paid","Work item 6920"
"TB-000191","2026-08-17","Northwind LLC","PRJ-130","J. Carter","UI Prototype","2.24","125","280","False","Paid","Work item 4408"
"TB-000192","2026-05-15","Acme Corp","PRJ-551","D. Kim","UI Prototype","2.53","166","419.98","True","Paid","Work item 9414"
"TB-000193","2026-08-09","BlueYonder Co","PRJ-358","A. Singh","Data Cleanup","1.53","127","194.31","True","Rejected","Work item 8893"
"TB-000194","2026-06-24","Fabrikam Inc","PRJ-428","S. Patel","API Integration","4.64","204","946.56","True","Rejected","Work item 9293"
"TB-000195","2026-07-08","Acme Corp","PRJ-256","D. Kim","UI Prototype","4.96","160","793.6","True","Draft","Work item 5012"
"TB-000196","2026-07-08","Fabrikam Inc","PRJ-567","S. Patel","Data Cleanup","7.51","152","1141.52","False","Rejected","Work item 6975"
"TB-000197","2026-07-31","BlueYonder Co","PRJ-843","A. Singh","Data Cleanup","7.96","167","1329.32","False","Paid","Work item 5552"
"TB-000198","2026-07-13","Fabrikam Inc","PRJ-405","M. Rivera","Report Build","4.21","106","446.26","True","Paid","Work item 6461"
"TB-000199","2026-06-07","Northwind LLC","PRJ-947","J. Carter","UI Prototype","6.5","177","1150.5","True","Draft","Work item 5034"
"TB-000200","2026-07-01","Northwind LLC","PRJ-932","S. Patel","API Integration","6.72","92","618.24","True","Submitted","Work item 8110"
"TB-000201","2026-06-13","Fabrikam Inc","PRJ-954","D. Kim","Data Cleanup","4.95","136","673.2","True","Submitted","Work item 9457"
"TB-000202","2026-07-04","Northwind LLC","PRJ-877","A. Singh","Report Build","7.99","111","886.89","True","Rejected","Work item 8001"
"TB-000203","2026-08-17","Northwind LLC","PRJ-708","M. Rivera","QA Regression","7.2","118","849.6","False","Paid","Work item 4210"
"TB-000204","2026-06-08","BlueYonder Co","PRJ-112","M. Rivera","Data Cleanup","2.18","135","294.3","False","Approved","Work item 2503"
"TB-000205","2026-06-26","Acme Corp","PRJ-504","D. Kim","QA Regression","7.27","192","1395.84","False","Submitted","Work item 6544"
"TB-000206","2026-06-09","Contoso Ltd","PRJ-906","A. Singh","API Integration","0.71","159","112.89","True","Rejected","Work item 5615"
"TB-000207","2026-05-06","BlueYonder Co","PRJ-743","D. Kim","UI Prototype","1.02","90","91.8","True","Submitted","Work item 4995"
"TB-000208","2026-07-13","Fabrikam Inc","PRJ-886","J. Carter","QA Regression","2.25","212","477","True","Rejected","Work item 1365"
"TB-000209","2026-05-30","Acme Corp","PRJ-395","D. Kim","QA Regression","6.59","169","1113.71","False","Draft","Work item 7048"
